state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
AL,7000.0,52.0,364000.0,55000.0,2.81,1023000.0,2013
AZ,29000.0,36.0,1044000.0,251000.0,1.89,1973000.0,2013
AR,22000.0,60.0,1320000.0,66000.0,2.01,2653000.0,2013
CA,330000.0,33.0,10890000.0,2505000.0,2.1,22869000.0,2013
CO,26000.0,43.0,1118000.0,324000.0,2.1,2348000.0,2013
FL,220000.0,61.0,13420000.0,1074000.0,2.04,27377000.0,2013
GA,67000.0,50.0,3350000.0,637000.0,2.24,7504000.0,2013
HI,13000.0,83.0,1079000.0,65000.0,1.98,2136000.0,2013
ID,83000.0,32.0,2656000.0,1036000.0,2.01,5339000.0,2013
IL,7000.0,48.0,336000.0,101000.0,4.15,1394000.0,2013
IN,6000.0,47.0,282000.0,82000.0,2.67,753000.0,2013
IA,39000.0,48.0,1872000.0,1217000.0,2.54,4755000.0,2013
KS,6000.0,46.0,276000.0,39000.0,2.55,704000.0,2013
KY,3000.0,41.0,123000.0,17000.0,3.02,371000.0,2013
LA,50000.0,98.0,4900000.0,490000.0,1.83,8967000.0,2013
ME,7000.0,43.0,301000.0,27000.0,3.03,912000.0,2013
MI,85000.0,55.0,4675000.0,982000.0,2.13,9958000.0,2013
MN,130000.0,58.0,7540000.0,1282000.0,1.97,14854000.0,2013
MS,17000.0,116.0,1972000.0,39000.0,1.85,3648000.0,2013
MO,10000.0,47.0,470000.0,85000.0,2.53,1189000.0,2013
MT,159000.0,94.0,14946000.0,5231000.0,2.08,31088000.0,2013
NE,46000.0,60.0,2760000.0,1628000.0,2.06,5686000.0,2013
NJ,11000.0,44.0,484000.0,34000.0,3.89,1883000.0,2013
NY,55000.0,48.0,2640000.0,1030000.0,1.99,5254000.0,2013
NC,10000.0,38.0,380000.0,84000.0,3.63,1379000.0,2013
ND,480000.0,69.0,33120000.0,6955000.0,2.04,67565000.0,2013
OH,17000.0,45.0,765000.0,390000.0,3.21,2456000.0,2013
OR,62000.0,35.0,2170000.0,456000.0,2.29,4969000.0,2013
PA,13000.0,45.0,585000.0,257000.0,2.98,1743000.0,2013
SD,265000.0,56.0,14840000.0,6381000.0,2.06,30570000.0,2013
TN,7000.0,45.0,315000.0,63000.0,3.58,1128000.0,2013
TX,106000.0,59.0,6254000.0,1689000.0,2.12,13258000.0,2013
UT,30000.0,34.0,1020000.0,92000.0,2.07,2111000.0,2013
VT,3000.0,51.0,153000.0,46000.0,3.31,506000.0,2013
VA,5000.0,35.0,175000.0,42000.0,4.23,740000.0,2013
WA,69000.0,39.0,2691000.0,1023000.0,2.21,5947000.0,2013
WV,6000.0,46.0,276000.0,83000.0,3.56,983000.0,2013
WI,59000.0,60.0,3540000.0,1558000.0,2.31,8177000.0,2013
WY,47000.0,66.0,3102000.0,558000.0,2.11,6545000.0,2013
AL,7000.0,53.0,371000.0,26000.0,3.4,1261000.0,2014
AZ,26000.0,39.0,1014000.0,193000.0,2.02,2048000.0,2014
AR,21000.0,65.0,1365000.0,137000.0,2.0,2730000.0,2014
CA,320000.0,39.0,12480000.0,2995000.0,2.03,25334000.0,2014
CO,27000.0,37.0,999000.0,200000.0,2.0,1998000.0,2014
FL,245000.0,60.0,14700000.0,1029000.0,2.08,30576000.0,2014
GA,73000.0,62.0,4526000.0,362000.0,2.19,9912000.0,2014
HI,15000.0,93.0,1395000.0,140000.0,2.28,3181000.0,2014
ID,100000.0,34.0,3400000.0,850000.0,2.03,6902000.0,2014
IL,8000.0,49.0,392000.0,94000.0,4.41,1729000.0,2014
IN,5000.0,62.0,310000.0,115000.0,3.24,1004000.0,2014
IA,35000.0,43.0,1505000.0,933000.0,2.51,3778000.0,2014
KS,7000.0,75.0,525000.0,84000.0,2.33,1223000.0,2014
KY,5000.0,47.0,235000.0,56000.0,3.93,924000.0,2014
LA,48000.0,84.0,4032000.0,524000.0,2.26,9112000.0,2014
ME,8000.0,47.0,376000.0,41000.0,5.36,2015000.0,2014
MI,91000.0,63.0,5733000.0,1835000.0,2.5,14333000.0,2014
MN,132000.0,60.0,7920000.0,1426000.0,2.06,16315000.0,2014
MS,20000.0,112.0,2240000.0,45000.0,2.01,4502000.0,2014
MO,12000.0,47.0,564000.0,96000.0,3.57,2013000.0,2014
MT,162000.0,88.0,14256000.0,5132000.0,2.05,29225000.0,2014
NE,50000.0,75.0,3750000.0,1688000.0,2.1,7875000.0,2014
NJ,12000.0,30.0,360000.0,119000.0,2.98,1073000.0,2014
NY,60000.0,55.0,3300000.0,1518000.0,2.72,8976000.0,2014
NC,12000.0,43.0,516000.0,88000.0,3.47,1791000.0,2014
ND,490000.0,86.0,42140000.0,9271000.0,2.0,84280000.0,2014
OH,15000.0,61.0,915000.0,256000.0,3.52,3221000.0,2014
OR,71000.0,40.0,2840000.0,767000.0,2.19,6220000.0,2014
PA,17000.0,46.0,782000.0,203000.0,2.75,2151000.0,2014
SC,9000.0,54.0,486000.0,19000.0,3.83,1861000.0,2014
SD,280000.0,87.0,24360000.0,5846000.0,2.09,50912000.0,2014
TN,7000.0,63.0,441000.0,88000.0,3.23,1424000.0,2014
TX,116000.0,78.0,9048000.0,2081000.0,2.23,20177000.0,2014
UT,29000.0,28.0,812000.0,130000.0,2.13,1730000.0,2014
VT,3000.0,58.0,174000.0,61000.0,5.03,875000.0,2014
VA,6000.0,41.0,246000.0,57000.0,5.07,1247000.0,2014
WA,68000.0,44.0,2992000.0,1167000.0,2.48,7420000.0,2014
WV,6000.0,31.0,186000.0,33000.0,4.04,751000.0,2014
WI,53000.0,54.0,2862000.0,1030000.0,2.32,6640000.0,2014
WY,38000.0,61.0,2318000.0,255000.0,2.06,4775000.0,2014
AL,7000.0,47.0,329000.0,13000.0,3.83,1260000.0,2015
AZ,26000.0,49.0,1274000.0,306000.0,2.17,2765000.0,2015
AR,24000.0,72.0,1728000.0,121000.0,2.02,3491000.0,2015
CA,275000.0,30.0,8250000.0,1485000.0,2.04,16830000.0,2015
CO,29000.0,51.0,1479000.0,399000.0,2.18,3224000.0,2015
FL,220000.0,54.0,11880000.0,832000.0,1.97,23404000.0,2015
GA,69000.0,40.0,2760000.0,221000.0,2.42,6679000.0,2015
HI,14000.0,102.0,1428000.0,71000.0,1.95,2785000.0,2015
ID,89000.0,32.0,2848000.0,1082000.0,1.92,5468000.0,2015
IL,8000.0,51.0,408000.0,155000.0,4.32,1763000.0,2015
IN,6000.0,53.0,318000.0,165000.0,3.38,1075000.0,2015
IA,36000.0,50.0,1800000.0,990000.0,2.33,4194000.0,2015
KS,8000.0,36.0,288000.0,107000.0,3.52,1014000.0,2015
KY,5000.0,46.0,230000.0,55000.0,3.86,888000.0,2015
LA,44000.0,99.0,4356000.0,348000.0,1.93,8407000.0,2015
ME,10000.0,47.0,470000.0,47000.0,5.51,2590000.0,2015
MI,90000.0,58.0,5220000.0,1984000.0,2.43,12685000.0,2015
MN,122000.0,68.0,8296000.0,2157000.0,1.83,15182000.0,2015
MS,15000.0,83.0,1245000.0,87000.0,2.64,3287000.0,2015
MO,10000.0,52.0,520000.0,52000.0,3.5,1820000.0,2015
MT,146000.0,83.0,12118000.0,3757000.0,1.94,23509000.0,2015
NE,57000.0,48.0,2736000.0,1450000.0,2.02,5527000.0,2015
NJ,12000.0,27.0,324000.0,207000.0,4.2,1361000.0,2015
NY,58000.0,62.0,3596000.0,899000.0,2.94,10572000.0,2015
NC,12000.0,45.0,540000.0,103000.0,4.52,2441000.0,2015
ND,490000.0,74.0,36260000.0,9428000.0,1.8,65268000.0,2015
OH,17000.0,50.0,850000.0,357000.0,4.08,3468000.0,2015
OR,71000.0,38.0,2698000.0,809000.0,2.52,6799000.0,2015
PA,17000.0,53.0,901000.0,225000.0,3.63,3271000.0,2015
SC,14000.0,67.0,938000.0,38000.0,4.09,3836000.0,2015
SD,290000.0,66.0,19140000.0,9379000.0,1.79,34261000.0,2015
TN,7000.0,59.0,413000.0,78000.0,4.07,1681000.0,2015
TX,126000.0,66.0,8316000.0,1164000.0,2.09,17380000.0,2015
UT,27000.0,42.0,1134000.0,147000.0,1.93,2189000.0,2015
VT,5000.0,52.0,260000.0,62000.0,4.23,1100000.0,2015
VA,6000.0,38.0,228000.0,50000.0,5.67,1293000.0,2015
WA,73000.0,44.0,3212000.0,1221000.0,1.64,5268000.0,2015
WV,5000.0,35.0,175000.0,32000.0,4.44,777000.0,2015
WI,52000.0,67.0,3484000.0,1603000.0,2.41,8396000.0,2015
WY,38000.0,77.0,2926000.0,146000.0,1.9,5559000.0,2015
AL,7000.0,52.0,364000.0,33000.0,3.37,1227000.0,2016
AZ,27000.0,46.0,1242000.0,261000.0,1.99,2472000.0,2016
AR,24000.0,69.0,1656000.0,99000.0,1.84,3047000.0,2016
CA,310000.0,36.0,11160000.0,2009000.0,2.0,22320000.0,2016
CO,32000.0,40.0,1280000.0,282000.0,2.17,2778000.0,2016
FL,215000.0,50.0,10750000.0,538000.0,2.44,26230000.0,2016
GA,96000.0,39.0,3744000.0,899000.0,2.69,10071000.0,2016
HI,16000.0,113.0,1808000.0,127000.0,2.31,4176000.0,2016
ID,97000.0,34.0,3298000.0,1253000.0,1.72,5673000.0,2016
IL,10000.0,48.0,480000.0,77000.0,5.39,2587000.0,2016
IN,7000.0,62.0,434000.0,208000.0,3.36,1458000.0,2016
IA,37000.0,48.0,1776000.0,746000.0,2.07,3676000.0,2016
KS,7000.0,48.0,336000.0,54000.0,2.97,998000.0,2016
KY,5000.0,46.0,230000.0,48000.0,4.02,925000.0,2016
LA,50000.0,86.0,4300000.0,301000.0,1.93,8299000.0,2016
ME,12000.0,34.0,408000.0,65000.0,3.21,1310000.0,2016
MI,89000.0,60.0,5340000.0,1709000.0,2.25,12015000.0,2016
MN,124000.0,59.0,7316000.0,1390000.0,1.64,11998000.0,2016
MS,19000.0,85.0,1615000.0,113000.0,1.74,2810000.0,2016
MO,8000.0,62.0,496000.0,30000.0,2.18,1081000.0,2016
MT,159000.0,77.0,12243000.0,3183000.0,1.75,21425000.0,2016
NE,48000.0,46.0,2208000.0,640000.0,1.88,4151000.0,2016
NJ,12000.0,27.0,324000.0,198000.0,6.69,2168000.0,2016
NY,64000.0,57.0,3648000.0,1167000.0,3.2,11674000.0,2016
NC,12000.0,37.0,444000.0,89000.0,4.61,2047000.0,2016
ND,485000.0,78.0,37830000.0,6809000.0,1.73,65446000.0,2016
OH,15000.0,79.0,1185000.0,664000.0,3.84,4550000.0,2016
OR,74000.0,35.0,2590000.0,622000.0,2.06,5335000.0,2016
PA,19000.0,50.0,950000.0,266000.0,3.15,2993000.0,2016
SC,16000.0,45.0,720000.0,36000.0,4.5,3240000.0,2016
SD,280000.0,71.0,19880000.0,12127000.0,1.74,34591000.0,2016
TN,6000.0,55.0,330000.0,69000.0,4.78,1577000.0,2016
TX,133000.0,70.0,9310000.0,2607000.0,1.96,18248000.0,2016
UT,31000.0,32.0,992000.0,169000.0,1.91,1895000.0,2016
VT,6000.0,52.0,312000.0,69000.0,2.82,880000.0,2016
VA,5000.0,38.0,190000.0,30000.0,5.82,1106000.0,2016
WA,84000.0,35.0,2940000.0,412000.0,1.88,5527000.0,2016
WV,5000.0,32.0,160000.0,43000.0,3.73,597000.0,2016
WI,54000.0,62.0,3348000.0,1205000.0,2.44,8169000.0,2016
WY,40000.0,68.0,2720000.0,190000.0,1.76,4787000.0,2016
AL,7000.0,45.0,315000.0,22000.0,2.77,873000.0,2017
AZ,22000.0,40.0,880000.0,97000.0,1.96,1725000.0,2017
AR,29000.0,77.0,2233000.0,223000.0,1.91,4265000.0,2017
CA,335000.0,41.0,13735000.0,2198000.0,2.09,28706000.0,2017
CO,33000.0,43.0,1419000.0,284000.0,2.06,2923000.0,2017
FL,205000.0,43.0,8815000.0,529000.0,2.4,21156000.0,2017
